method,kind,group,value
pchip,mean_rank,все длины,4.7632
linear,mean_rank,все длины,4.5132
unet_best,mean_rank,все длины,2.2763
saits_best,mean_rank,все длины,3.2105
crossformer_best,mean_rank,все длины,3.8289
timesnet_best,mean_rank,все длины,4.2105
imputeformer_best,mean_rank,все длины,5.1974
,friedman_chi2,все длины,96.86
,friedman_p,все длины,1.13e-18
,nemenyi_CD,все длины,1.0334
,N_cells,все длины,76
,top_always,все длины,U-Net*
,top_sometimes,все длины,SAITS*
,joined_splits,все длины,test;test_hard
pchip,mean_rank,≤120 мин,1.9700
linear,mean_rank,≤120 мин,1.5700
unet_best,mean_rank,≤120 мин,2.5900
saits_best,mean_rank,≤120 мин,4.5100
crossformer_best,mean_rank,≤120 мин,5.4000
timesnet_best,mean_rank,≤120 мин,5.1000
imputeformer_best,mean_rank,≤120 мин,6.8600
,friedman_chi2,≤120 мин,506.2
,friedman_p,≤120 мин,3.84e-106
,nemenyi_CD,≤120 мин,0.9009
,N_cells,≤120 мин,100
,top_always,≤120 мин,Linear;PCHIP
,top_sometimes,≤120 мин,
,joined_splits,≤120 мин,test;test_hard
pchip,mean_rank,120–1000 мин,5.6667
linear,mean_rank,120–1000 мин,5.8485
unet_best,mean_rank,120–1000 мин,1.7172
saits_best,mean_rank,120–1000 мин,2.6263
crossformer_best,mean_rank,120–1000 мин,3.1717
timesnet_best,mean_rank,120–1000 мин,4.1111
imputeformer_best,mean_rank,120–1000 мин,4.8586
,friedman_chi2,120–1000 мин,312.5
,friedman_p,120–1000 мин,1.75e-64
,nemenyi_CD,120–1000 мин,0.9055
,N_cells,120–1000 мин,99
,top_always,120–1000 мин,U-Net*
,top_sometimes,120–1000 мин,CrossFormer*;SAITS*
,joined_splits,120–1000 мин,test;test_hard
pchip,mean_rank,>1000 мин,6.5714
linear,mean_rank,>1000 мин,6.4286
unet_best,mean_rank,>1000 мин,2.2727
saits_best,mean_rank,>1000 мин,2.7792
crossformer_best,mean_rank,>1000 мин,3.0390
timesnet_best,mean_rank,>1000 мин,3.4416
imputeformer_best,mean_rank,>1000 мин,3.4675
,friedman_chi2,>1000 мин,305.3
,friedman_p,>1000 мин,5.99e-63
,nemenyi_CD,>1000 мин,1.0267
,N_cells,>1000 мин,77
,top_always,>1000 мин,CrossFormer*;SAITS*;U-Net*
,top_sometimes,>1000 мин,ImputeFormer*;TimesNet*
,joined_splits,>1000 мин,test;test_hard
