method,kind,group,value
pchip,mean_rank,все длины,3.5789
linear,mean_rank,все длины,3.7632
unet_best,mean_rank,все длины,3.6447
saits_best,mean_rank,все длины,5.4737
crossformer_best,mean_rank,все длины,3.3684
timesnet_best,mean_rank,все длины,2.6711
imputeformer_best,mean_rank,все длины,5.5000
,friedman_chi2,все длины,113.1
,friedman_p,все длины,4.51e-22
,nemenyi_CD,все длины,1.0334
,N_cells,все длины,76
,top_always,все длины,CrossFormer*;TimesNet*
,top_sometimes,все длины,PCHIP;U-Net*
,joined_splits,все длины,test;test_hard
pchip,mean_rank,≤120 мин,1.3700
linear,mean_rank,≤120 мин,1.7700
unet_best,mean_rank,≤120 мин,3.0700
saits_best,mean_rank,≤120 мин,5.5200
crossformer_best,mean_rank,≤120 мин,5.0500
timesnet_best,mean_rank,≤120 мин,4.4100
imputeformer_best,mean_rank,≤120 мин,6.8100
,friedman_chi2,≤120 мин,519.3
,friedman_p,≤120 мин,5.98e-109
,nemenyi_CD,≤120 мин,0.9009
,N_cells,≤120 мин,100
,top_always,≤120 мин,Linear;PCHIP
,top_sometimes,≤120 мин,
,joined_splits,≤120 мин,test;test_hard
pchip,mean_rank,120–1000 мин,3.8081
linear,mean_rank,120–1000 мин,3.9495
unet_best,mean_rank,120–1000 мин,3.6465
saits_best,mean_rank,120–1000 мин,5.8788
crossformer_best,mean_rank,120–1000 мин,2.6162
timesnet_best,mean_rank,120–1000 мин,2.4444
imputeformer_best,mean_rank,120–1000 мин,5.6566
,friedman_chi2,120–1000 мин,228.5
,friedman_p,120–1000 мин,1.56e-46
,nemenyi_CD,120–1000 мин,0.9055
,N_cells,120–1000 мин,99
,top_always,120–1000 мин,CrossFormer*;TimesNet*
,top_sometimes,120–1000 мин,
,joined_splits,120–1000 мин,test;test_hard
pchip,mean_rank,>1000 мин,6.2987
linear,mean_rank,>1000 мин,6.2208
unet_best,mean_rank,>1000 мин,4.2468
saits_best,mean_rank,>1000 мин,4.7532
crossformer_best,mean_rank,>1000 мин,1.9610
timesnet_best,mean_rank,>1000 мин,1.0649
imputeformer_best,mean_rank,>1000 мин,3.4545
,friedman_chi2,>1000 мин,394.6
,friedman_p,>1000 мин,4.1e-82
,nemenyi_CD,>1000 мин,1.0267
,N_cells,>1000 мин,77
,top_always,>1000 мин,CrossFormer*;TimesNet*
,top_sometimes,>1000 мин,
,joined_splits,>1000 мин,test;test_hard
