method,kind,group,value
pchip,mean_rank,все длины,3.8158
linear,mean_rank,все длины,3.7632
unet_best,mean_rank,все длины,4.4211
saits_best,mean_rank,все длины,4.2500
crossformer_best,mean_rank,все длины,3.4868
timesnet_best,mean_rank,все длины,2.3816
imputeformer_best,mean_rank,все длины,5.8816
,friedman_chi2,все длины,110
,friedman_p,все длины,2.06e-21
,nemenyi_CD,все длины,1.0334
,N_cells,все длины,76
,top_always,все длины,TimesNet*
,top_sometimes,все длины,CrossFormer*;Linear
,joined_splits,все длины,test;test_hard
pchip,mean_rank,≤120 мин,1.6900
linear,mean_rank,≤120 мин,1.4500
unet_best,mean_rank,≤120 мин,3.1300
saits_best,mean_rank,≤120 мин,5.5100
crossformer_best,mean_rank,≤120 мин,5.0400
timesnet_best,mean_rank,≤120 мин,4.1900
imputeformer_best,mean_rank,≤120 мин,6.9900
,friedman_chi2,≤120 мин,534.3
,friedman_p,≤120 мин,3.44e-112
,nemenyi_CD,≤120 мин,0.9009
,N_cells,≤120 мин,100
,top_always,≤120 мин,Linear;PCHIP
,top_sometimes,≤120 мин,
,joined_splits,≤120 мин,test;test_hard
pchip,mean_rank,120–1000 мин,3.7273
linear,mean_rank,120–1000 мин,4.0606
unet_best,mean_rank,120–1000 мин,4.9495
saits_best,mean_rank,120–1000 мин,4.6970
crossformer_best,mean_rank,120–1000 мин,2.5960
timesnet_best,mean_rank,120–1000 мин,1.7980
imputeformer_best,mean_rank,120–1000 мин,6.1717
,friedman_chi2,120–1000 мин,275.8
,friedman_p,120–1000 мин,1.23e-56
,nemenyi_CD,120–1000 мин,0.9055
,N_cells,120–1000 мин,99
,top_always,120–1000 мин,CrossFormer*;TimesNet*
,top_sometimes,120–1000 мин,
,joined_splits,120–1000 мин,test;test_hard
pchip,mean_rank,>1000 мин,5.5974
linear,mean_rank,>1000 мин,5.5325
unet_best,mean_rank,>1000 мин,5.5974
saits_best,mean_rank,>1000 мин,2.8571
crossformer_best,mean_rank,>1000 мин,2.7013
timesnet_best,mean_rank,>1000 мин,1.0649
imputeformer_best,mean_rank,>1000 мин,4.6494
,friedman_chi2,>1000 мин,321.4
,friedman_p,>1000 мин,2.08e-66
,nemenyi_CD,>1000 мин,1.0267
,N_cells,>1000 мин,77
,top_always,>1000 мин,TimesNet*
,top_sometimes,>1000 мин,
,joined_splits,>1000 мин,test;test_hard
