method,kind,group,value
pchip,mean_rank,все длины,3.6053
linear,mean_rank,все длины,4.1184
unet_best,mean_rank,все длины,3.5395
saits_best,mean_rank,все длины,3.1579
crossformer_best,mean_rank,все длины,3.7368
timesnet_best,mean_rank,все длины,4.0921
imputeformer_best,mean_rank,все длины,5.7500
,friedman_chi2,все длины,68.91
,friedman_p,все длины,6.84e-13
,nemenyi_CD,все длины,1.0334
,N_cells,все длины,76
,top_always,все длины,SAITS*;U-Net*
,top_sometimes,все длины,CrossFormer*;Linear;PCHIP;TimesNet*
,joined_splits,все длины,test;test_hard
pchip,mean_rank,≤120 мин,1.3200
linear,mean_rank,≤120 мин,1.7100
unet_best,mean_rank,≤120 мин,3.4600
saits_best,mean_rank,≤120 мин,4.5900
crossformer_best,mean_rank,≤120 мин,4.4900
timesnet_best,mean_rank,≤120 мин,5.7200
imputeformer_best,mean_rank,≤120 мин,6.7100
,friedman_chi2,≤120 мин,505.9
,friedman_p,≤120 мин,4.5e-106
,nemenyi_CD,≤120 мин,0.9009
,N_cells,≤120 мин,100
,top_always,≤120 мин,Linear;PCHIP
,top_sometimes,≤120 мин,
,joined_splits,≤120 мин,test;test_hard
pchip,mean_rank,120–1000 мин,3.2222
linear,mean_rank,120–1000 мин,4.2929
unet_best,mean_rank,120–1000 мин,3.7677
saits_best,mean_rank,120–1000 мин,3.0404
crossformer_best,mean_rank,120–1000 мин,3.0202
timesnet_best,mean_rank,120–1000 мин,4.3232
imputeformer_best,mean_rank,120–1000 мин,6.3333
,friedman_chi2,120–1000 мин,173.4
,friedman_p,120–1000 мин,8.48e-35
,nemenyi_CD,120–1000 мин,0.9055
,N_cells,120–1000 мин,99
,top_always,120–1000 мин,CrossFormer*;PCHIP;SAITS*
,top_sometimes,120–1000 мин,U-Net*
,joined_splits,120–1000 мин,test;test_hard
pchip,mean_rank,>1000 мин,6.4026
linear,mean_rank,>1000 мин,6.5584
unet_best,mean_rank,>1000 мин,3.8312
saits_best,mean_rank,>1000 мин,1.5065
crossformer_best,mean_rank,>1000 мин,3.4675
timesnet_best,mean_rank,>1000 мин,1.9481
imputeformer_best,mean_rank,>1000 мин,4.2857
,friedman_chi2,>1000 мин,381.8
,friedman_p,>1000 мин,2.27e-79
,nemenyi_CD,>1000 мин,1.0267
,N_cells,>1000 мин,77
,top_always,>1000 мин,SAITS*;TimesNet*
,top_sometimes,>1000 мин,
,joined_splits,>1000 мин,test;test_hard
