method,kind,group,value
pchip,mean_rank,все длины,3.7368
linear,mean_rank,все длины,3.5789
unet_best,mean_rank,все длины,4.1447
saits_best,mean_rank,все длины,4.4474
crossformer_best,mean_rank,все длины,3.4605
timesnet_best,mean_rank,все длины,3.1053
imputeformer_best,mean_rank,все длины,5.5263
,friedman_chi2,все длины,63.33
,friedman_p,все длины,9.44e-12
,nemenyi_CD,все длины,1.0334
,N_cells,все длины,76
,top_always,все длины,CrossFormer*;TimesNet*
,top_sometimes,все длины,Linear;PCHIP;U-Net*
,joined_splits,все длины,test;test_hard
pchip,mean_rank,≤120 мин,1.4400
linear,mean_rank,≤120 мин,1.7700
unet_best,mean_rank,≤120 мин,2.8700
saits_best,mean_rank,≤120 мин,5.0200
crossformer_best,mean_rank,≤120 мин,5.2700
timesnet_best,mean_rank,≤120 мин,4.7600
imputeformer_best,mean_rank,≤120 мин,6.8700
,friedman_chi2,≤120 мин,520.1
,friedman_p,≤120 мин,3.93e-109
,nemenyi_CD,≤120 мин,0.9009
,N_cells,≤120 мин,100
,top_always,≤120 мин,Linear;PCHIP
,top_sometimes,≤120 мин,
,joined_splits,≤120 мин,test;test_hard
pchip,mean_rank,120–1000 мин,3.5960
linear,mean_rank,120–1000 мин,3.7980
unet_best,mean_rank,120–1000 мин,4.5960
saits_best,mean_rank,120–1000 мин,4.8081
crossformer_best,mean_rank,120–1000 мин,2.4646
timesnet_best,mean_rank,120–1000 мин,2.7172
imputeformer_best,mean_rank,120–1000 мин,6.0202
,friedman_chi2,120–1000 мин,197.2
,friedman_p,120–1000 мин,7.42e-40
,nemenyi_CD,120–1000 мин,0.9055
,N_cells,120–1000 мин,99
,top_always,120–1000 мин,CrossFormer*;TimesNet*
,top_sometimes,120–1000 мин,PCHIP
,joined_splits,120–1000 мин,test;test_hard
pchip,mean_rank,>1000 мин,5.8442
linear,mean_rank,>1000 мин,5.6494
unet_best,mean_rank,>1000 мин,5.4286
saits_best,mean_rank,>1000 мин,3.5844
crossformer_best,mean_rank,>1000 мин,2.3766
timesnet_best,mean_rank,>1000 мин,1.3117
imputeformer_best,mean_rank,>1000 мин,3.8052
,friedman_chi2,>1000 мин,300.9
,friedman_p,>1000 мин,5.3e-62
,nemenyi_CD,>1000 мин,1.0267
,N_cells,>1000 мин,77
,top_always,>1000 мин,TimesNet*
,top_sometimes,>1000 мин,CrossFormer*
,joined_splits,>1000 мин,test;test_hard
