method,kind,group,value
pchip,mean_rank,все длины,4.0921
linear,mean_rank,все длины,4.2632
unet_best,mean_rank,все длины,4.3158
saits_best,mean_rank,все длины,3.8158
crossformer_best,mean_rank,все длины,3.9342
timesnet_best,mean_rank,все длины,2.4079
imputeformer_best,mean_rank,все длины,5.1711
,friedman_chi2,все длины,67.13
,friedman_p,все длины,1.58e-12
,nemenyi_CD,все длины,1.0334
,N_cells,все длины,76
,top_always,все длины,TimesNet*
,top_sometimes,все длины,
,joined_splits,все длины,test;test_hard
pchip,mean_rank,≤120 мин,1.2400
linear,mean_rank,≤120 мин,1.8900
unet_best,mean_rank,≤120 мин,3.2500
saits_best,mean_rank,≤120 мин,5.1700
crossformer_best,mean_rank,≤120 мин,5.3100
timesnet_best,mean_rank,≤120 мин,4.3400
imputeformer_best,mean_rank,≤120 мин,6.8000
,friedman_chi2,≤120 мин,507.3
,friedman_p,≤120 мин,2.28e-106
,nemenyi_CD,≤120 мин,0.9009
,N_cells,≤120 мин,100
,top_always,≤120 мин,Linear;PCHIP
,top_sometimes,≤120 мин,
,joined_splits,≤120 мин,test;test_hard
pchip,mean_rank,120–1000 мин,5.0707
linear,mean_rank,120–1000 мин,5.0505
unet_best,mean_rank,120–1000 мин,4.7071
saits_best,mean_rank,120–1000 мин,3.6970
crossformer_best,mean_rank,120–1000 мин,2.7172
timesnet_best,mean_rank,120–1000 мин,1.5253
imputeformer_best,mean_rank,120–1000 мин,5.2323
,friedman_chi2,120–1000 мин,257.3
,friedman_p,120–1000 мин,1.11e-52
,nemenyi_CD,120–1000 мин,0.9055
,N_cells,120–1000 мин,99
,top_always,120–1000 мин,TimesNet*
,top_sometimes,120–1000 мин,
,joined_splits,120–1000 мин,test;test_hard
pchip,mean_rank,>1000 мин,6.6364
linear,mean_rank,>1000 мин,6.2987
unet_best,mean_rank,>1000 мин,5.0519
saits_best,mean_rank,>1000 мин,2.2987
crossformer_best,mean_rank,>1000 мин,3.1948
timesnet_best,mean_rank,>1000 мин,1.0519
imputeformer_best,mean_rank,>1000 мин,3.4675
,friedman_chi2,>1000 мин,426.7
,friedman_p,>1000 мин,5.16e-89
,nemenyi_CD,>1000 мин,1.0267
,N_cells,>1000 мин,77
,top_always,>1000 мин,TimesNet*
,top_sometimes,>1000 мин,
,joined_splits,>1000 мин,test;test_hard
