arch,cell,best_val_96,logmean_mae_1024,gain_vs_base_pct,worse_than_base_at,chosen
dlinear,dlinear__lr0.0003__L,11.0928,1.98453,-2.8,5;60;120;240;720;1000;1440;2880;4320,
dlinear,dlinear__lr0.0003__M,10.8906,1.94818,+0.8,,yes
dlinear,dlinear__lr0.0003__S,10.9290,1.95064,+0.6,,
dlinear,dlinear__lr0.001__M,10.8908,1.95648,+0.0,,
dlinear,dlinear__lr0.003__M,10.9534,1.95786,-0.1,120;240;720;1000;1440;2880;4320,
nbeatsx,nbeatsx__lr0.0003__M,11.0014,2.02521,-0.4,240;720,
nbeatsx,nbeatsx__lr0.001__M,10.9822,2.02142,+0.0,,yes
nbeatsx,nbeatsx__lr0.003__L,11.3807,2.12091,-10.5,5;15;60;120;240;720;1000;1440;2880;4320,
nbeatsx,nbeatsx__lr0.003__M,10.8911,2.07542,-5.5,5;15;60;120;240;720;1000;1440;2880,
nbeatsx,nbeatsx__lr0.003__S,11.0294,2.06970,-4.9,5;15;60;120;240;720;1000;1440;2880,
nhits,nhits__lr0.0003__L,10.3866,1.91940,+7.1,,yes
nhits,nhits__lr0.0003__M,10.8298,1.96339,+2.9,,
nhits,nhits__lr0.0003__S,11.3697,2.03419,-4.2,5;15;60;120;240;720;1000;1440;2880;4320,
nhits,nhits__lr0.001__M,11.0627,1.99295,+0.0,,
nhits,nhits__lr0.003__M,11.4581,1.99123,+0.2,4320,
tide,tide__lr0.0003__M,12.4055,2.10746,-11.3,15;60;120;240;720;1000;1440;2880;4320,
tide,tide__lr0.001__M,11.6690,2.00055,+0.0,,
tide,tide__lr0.003__L,12.0506,2.04557,-4.6,15;60;120;240;720;1000;1440;2880;4320,
tide,tide__lr0.003__M,11.5346,1.99729,+0.3,,yes
tide,tide__lr0.003__S,11.8991,2.05053,-5.1,15;60;120;240;720;1000;1440;2880;4320,
tsmixerx,tsmixerx__lr0.0003__L,10.3563,1.88266,+10.7,4320,
tsmixerx,tsmixerx__lr0.0003__M,10.6248,1.95696,+3.9,2880;4320,
tsmixerx,tsmixerx__lr0.0003__S,10.4353,1.90523,+8.7,2880;4320,
tsmixerx,tsmixerx__lr0.001__M,11.0566,1.99630,+0.0,,
tsmixerx,tsmixerx__lr0.003__M,11.0436,1.97896,+1.7,,yes
segrnn,segrnn__lr0.0003__M,11.9146,2.10907,-5.8,5;15;60;120;240;720;1000;1440;2880;4320,
segrnn,segrnn__lr0.001__L,11.3253,2.06438,-1.2,60;120;720;1000;1440;2880;4320,
segrnn,segrnn__lr0.001__M,11.3196,2.05286,+0.0,,
segrnn,segrnn__lr0.001__S,11.6928,2.10214,-5.1,5;15;60;120;240;720;1000;1440;2880;4320,
segrnn,segrnn__lr0.003__M,11.4309,2.04293,+1.0,,yes
unet,unet__lr0.0003__L,9.0244,1.29952,-0.6,15;60;120,
unet,unet__lr0.0003__M,8.9680,1.30595,-1.3,15;120;240,
unet,unet__lr0.0003__S,9.2904,1.41660,-13.1,5;15;60;120;240,
unet,unet__lr0.001__M,9.1061,1.29310,+0.0,,
unet,unet__lr0.003__M,9.2153,1.28172,+1.1,,yes
timesnet,timesnet__lr0.0003__M,10.3480,1.78632,-20.0,5;15;60;120;240;720;1000;1440;4320,
timesnet,timesnet__lr0.001__L,10.2183,1.74771,-15.5,5;15;60;120;240;720;1000;1440;4320,
timesnet,timesnet__lr0.001__M,10.3218,1.60360,+0.0,,
timesnet,timesnet__lr0.001__S,10.2863,1.56855,+3.4,,yes
timesnet,timesnet__lr0.003__M,10.3318,1.57417,+2.9,,
saits,saits__lr0.0003__M,9.5140,1.62095,-13.4,5;15;60;120;240;720;1000;1440;2880;4320,
saits,saits__lr0.001__L,9.4374,1.48351,+1.2,1000;2880,
saits,saits__lr0.001__M,8.9721,1.49516,+0.0,,yes
saits,saits__lr0.001__S,9.3551,1.51990,-2.5,5;15,
saits,saits__lr0.003__M,9.4872,1.55983,-6.7,5;15;60;120;240;720;1000;1440;2880,
imputeformer,imputeformer__lr0.0003__M,10.7577,1.94736,-9.3,5;15;60;120;240;720;1000;1440;2880;4320,
imputeformer,imputeformer__lr0.001__M,10.5331,1.85849,+0.0,,
imputeformer,imputeformer__lr0.003__L,10.9304,1.95777,-10.4,5;15;60;120;240;720;1000;1440;2880;4320,
imputeformer,imputeformer__lr0.003__M,10.0740,1.81400,+4.4,,yes
imputeformer,imputeformer__lr0.003__S,10.2464,1.82438,+3.4,,
csdi,csdi__lr0.0003__M,5.7241,2.20317,-7.0,5;15;4320,
csdi,csdi__lr0.001__M,5.2886,2.13575,+0.0,,
csdi,csdi__lr0.003__L,5.1632,2.10005,+3.5,,
csdi,csdi__lr0.003__M,5.1948,2.02768,+10.2,,yes
csdi,csdi__lr0.003__S,5.2064,2.08441,+5.0,,
crossformer,crossformer__lr0.0003__L,10.2396,1.58819,+25.6,,yes
crossformer,crossformer__lr0.0003__M,10.1150,1.62156,+23.1,,
crossformer,crossformer__lr0.0003__S,10.4975,1.67230,+19.1,,
crossformer,crossformer__lr0.001__M,10.2468,1.88385,+0.0,,
crossformer,crossformer__lr0.003__M,11.1553,1.98917,-11.1,5;15;60;120;240;720;1000;1440;2880;4320,
