MAE на val (ARS 2025), нТл: базовый чекпойнт -> победитель грида; в скобках разница (победитель − база), * = значимо по парному блочному ДИ

arch         ячейка                                 5            15            60           120           240           720          1000          1440          2880          4320
dlinear      lr0.0003__M                 6.02(-0.09*)  6.49(-0.12*)  6.08(-0.09*)  5.90(-0.06*)  6.83(-0.07*)  7.58(-0.04*)  7.61(-0.03*)  7.70(-0.03*)  8.35(-0.01 )  8.16(+0.00 )
nbeatsx      lr0.003__M                  7.93(+0.45*)  8.02(+0.52*)  8.19(+0.61*)  7.59(+0.50*)  7.85(+0.65*)  8.03(+0.41*)  7.94(+0.37*)  8.02(+0.41*)  8.23(+0.21*)  7.90(+0.04 )
nhits        lr0.0003__L                 6.09(-0.92*)  5.92(-1.11*)  6.35(-0.91*)  6.14(-0.53*)  6.64(-0.55*)  7.26(-0.29*)  7.28(-0.18*)  7.40(-0.19*)  7.86(-0.17*)  7.56(-0.10*)
tide         lr0.003__M                  4.95(+0.07 )  7.08(+0.01 )  7.83(-0.08*)  7.26(-0.03 )  7.57(-0.09*)  7.92(-0.02 )  7.90(-0.03 )  7.92(-0.04 )  8.17(-0.05*)  7.75(-0.03*)
tsmixerx     lr0.0003__L                 5.39(-1.76*)  5.60(-1.80*)  5.93(-1.48*)  5.71(-1.14*)  6.42(-0.67*)  7.15(-0.30*)  7.25(-0.22*)  7.36(-0.14*)  7.89(+0.05 )  7.61(+0.16*)
segrnn       = база                              7.82          7.98          7.97          7.27          7.65          7.79          7.78          7.80          8.05          7.81
unet         lr0.0003__M                 1.26(-0.06 )  1.35(+0.14*)  1.94(+0.04 )  2.69(+0.05*)  4.10(+0.07*)  5.89(+0.04 )  6.30(+0.02 )  6.59(+0.01 )  7.38(+0.00 )  7.14(+0.03 )
timesnet     lr0.001__L                  3.91(+1.43*)  3.44(+1.15*)  3.88(+0.74*)  5.04(+0.90*)  6.37(+0.45*)  7.27(+0.17*)  7.37(+0.16*)  7.44(+0.12*)  7.82(+0.07 )  7.46(+0.09*)
saits        = база                              2.17          2.25          3.04          3.36          4.62          6.18          6.46          6.64          7.25          7.02
imputeformer lr0.003__M                  2.69(-0.37*)  5.45(-0.40*)  6.67(-0.23*)  6.13(-0.38*)  6.49(-0.30*)  7.15(-0.11*)  7.07(-0.22*)  7.14(-0.18*)  7.53(-0.16*)  7.15(-0.12*)
crossformer  lr0.0003__M                 3.53(-2.04*)  3.36(-2.18*)  3.30(-2.30*)  3.50(-1.85*)  4.68(-1.60*)  6.53(-0.84*)  6.83(-0.65*)  7.01(-0.60*)  7.57(-0.49*)  7.27(-0.42*)
csdi         lr0.003__L                  4.71(-1.55 )  6.36(-1.03 )  8.53(+0.08 )  8.77(+0.51 )  8.67(-0.16 )  9.47(+0.32 )  9.37(+0.20 )  9.29(+0.15 )  9.21(-0.34*)  8.95(-0.19 )
